iter	Logloss
0	0.6842532666
1	0.6738114229
2	0.6635791828
3	0.6543156891
4	0.6459080269
5	0.6375753188
6	0.6287317021
7	0.6185762025
8	0.6097301295
9	0.6000919769
10	0.5921390636
11	0.5838062066
12	0.5758106059
13	0.5680412073
14	0.5604345939
15	0.5526310305
16	0.5460210759
17	0.5409596269
18	0.532906936
19	0.5258314398
20	0.5205701008
21	0.516149074
22	0.5102081238
23	0.5034546622
24	0.4966936457
25	0.4907565288
26	0.4852373909
27	0.4797769806
28	0.4736239707
29	0.468236877
30	0.4624895273
31	0.4583132364
32	0.4525168353
33	0.4488650743
34	0.4434985241
35	0.4390321304
36	0.4354971921
37	0.4309312069
38	0.4272380983
39	0.4220421116
40	0.4184109685
41	0.4137659354
42	0.4093481836
43	0.4056653468
44	0.4018609236
45	0.3985903344
46	0.3947727737
47	0.3905269996
48	0.3882117588
49	0.3857638783
50	0.3817690181
51	0.3775336274
52	0.3744698877
53	0.3713223735
54	0.3679035508
55	0.3666040238
56	0.3638261071
57	0.3609693657
58	0.3573122828
59	0.3555012145
60	0.3525651275
61	0.3497673371
62	0.3472269363
63	0.3445362552
64	0.3419267061
65	0.3391152944
66	0.3365134119
67	0.334055818
68	0.3311332778
69	0.3288717405
70	0.3271531925
71	0.324348666
72	0.3220939393
73	0.3194880002
74	0.3162618847
75	0.313906078
76	0.311820333
77	0.3097062476
78	0.307413709
79	0.3052321501
80	0.3035610345
81	0.3008182316
82	0.2986380311
83	0.2965676565
84	0.2945096193
85	0.2927422432
86	0.2914782021
87	0.2897088349
88	0.2871691413
89	0.2867167184
90	0.2847437582
91	0.2831196285
92	0.281814333
93	0.2804875634
94	0.2791840914
95	0.2779949115
96	0.2763859475
97	0.2739956597
98	0.2721003517
99	0.2704241747
100	0.2690846958
101	0.2675043886
102	0.265946523
103	0.264324738
104	0.2628136907
105	0.261431115
106	0.2599002686
107	0.2588117221
108	0.2569748255
109	0.2556935718
110	0.2544842577
111	0.2533640772
112	0.2516993815
113	0.2499942687
114	0.2487171832
115	0.2472248745
116	0.2458640705
117	0.2446023368
118	0.2431584655
119	0.2420255941
120	0.2408020819
121	0.2393658399
122	0.2379221918
123	0.236642799
124	0.2354565405
125	0.2339711913
126	0.2324301289
127	0.2314343075
128	0.2302639404
129	0.2297064739
130	0.2284316401
131	0.2274898756
132	0.2265718367
133	0.2254997399
134	0.2242145971
135	0.2231314842
136	0.2222809747
137	0.2215706785
138	0.220563506
139	0.2195070774
140	0.2184427031
141	0.2175762835
142	0.2166939724
143	0.2155725079
144	0.2146631963
145	0.213649269
146	0.2124543949
147	0.2109289448
148	0.2100897306
149	0.2092110853
150	0.2084105018
151	0.207203737
152	0.2062974771
153	0.2050984348
154	0.2043557416
155	0.2033275975
156	0.2024837684
157	0.2017260211
158	0.2005198145
159	0.1999712428
160	0.1987633429
161	0.1979160154
162	0.1969204172
163	0.1963477477
164	0.1954002705
165	0.1946229474
166	0.1938524906
167	0.1927940151
168	0.1917080738
169	0.1911069151
170	0.1902893422
171	0.1896492736
172	0.1889228812
173	0.1882765416
174	0.1876740431
175	0.18687439
176	0.1862446304
177	0.1853693161
178	0.1844729558
179	0.1840238638
180	0.1834390432
181	0.1827177123
182	0.1820904275
183	0.1812587496
184	0.1805742445
185	0.1801958453
186	0.1794854189
187	0.1789597725
188	0.1783717326
189	0.1777634469
190	0.1768721481
191	0.1761387218
192	0.1756464029
193	0.1751348988
194	0.1746225201
195	0.1741141794
196	0.173310079
197	0.1728681512
198	0.1724963952
199	0.1719789179
200	0.1710821482
201	0.1704219082
202	0.1695130246
203	0.1689346424
204	0.1682481276
205	0.1675824912
206	0.1669247633
207	0.1661011986
208	0.1654244903
209	0.1645858157
210	0.1637562963
211	0.1629744699
212	0.1622712821
213	0.1620016296
214	0.1613968795
215	0.160831672
216	0.1599918994
217	0.1594700678
218	0.1589591964
219	0.1584157605
220	0.1577797857
221	0.1574209997
222	0.1568847839
223	0.1565906616
224	0.1560657781
225	0.1555305113
226	0.1551712415
227	0.1547851292
228	0.1543244815
229	0.1539638533
230	0.1535260845
231	0.1529827789
232	0.1526496909
233	0.1526381723
234	0.1521913134
235	0.1516554976
236	0.1512784848
237	0.150713026
238	0.1503804219
239	0.1501798526
240	0.1496944746
241	0.1493564926
242	0.1488222585
243	0.1484198826
244	0.1479779735
245	0.147394902
246	0.1466604522
247	0.1463409204
248	0.1460140847
249	0.145585434
250	0.145116822
251	0.1445738234
252	0.1441721174
253	0.1438702727
254	0.1434875192
255	0.1428296797
256	0.1423951394
257	0.1418919905
258	0.1415713514
259	0.1410120334
260	0.1406983817
261	0.1403125207
262	0.1398576136
263	0.1393587911
264	0.1390585281
265	0.1387512311
266	0.138409146
267	0.1377390902
268	0.13722232
269	0.1368409807
270	0.1362929765
271	0.1360008174
272	0.1355584058
273	0.1351311879
274	0.1346018013
275	0.1340588679
276	0.1336610231
277	0.1334823744
278	0.1327775676
279	0.1323232747
280	0.1319082731
281	0.1314270167
282	0.131205169
283	0.1309200159
284	0.1306557691
285	0.1305172399
286	0.130198257
287	0.1296843524
288	0.1295231304
289	0.1290133196
290	0.1287903368
291	0.1282692494
292	0.1280064449
293	0.1276881411
294	0.1273936281
295	0.1271098055
296	0.1265514737
297	0.1261363232
298	0.1258878935
299	0.1255918453
300	0.1253587116
301	0.1250792805
302	0.1246154787
303	0.1242946722
304	0.1239434132
305	0.123818561
306	0.1234266151
307	0.1229680795
308	0.1226272969
309	0.1225704859
310	0.1222107322
311	0.1218359803
312	0.1212858641
313	0.1209208443
314	0.1208011931
315	0.1204776326
316	0.1198100982
317	0.1196140042
318	0.1192601401
319	0.1190623807
320	0.1187386434
321	0.1183783315
322	0.1180970768
323	0.1178368588
324	0.1175463093
325	0.1171322753
326	0.1168113757
327	0.1165731155
328	0.1162585985
329	0.1160114807
330	0.1156644179
331	0.1153889132
332	0.1150576953
333	0.1148702263
334	0.1147397172
335	0.114645671
336	0.1141900104
337	0.1139231864
338	0.1137848805
339	0.1135644748
340	0.1133099509
341	0.1129464942
342	0.1127439525
343	0.1125689325
344	0.1122985915
345	0.1122924043
346	0.1120881227
347	0.1117881667
348	0.1115134901
349	0.1113326829
350	0.1111544901
351	0.1109589172
352	0.1108791063
353	0.1105684413
354	0.1103833541
355	0.1100981266
356	0.1098185002
357	0.109500215
358	0.1094881476
359	0.1090856693
360	0.1088709113
361	0.1086850519
362	0.1085067289
363	0.1084310863
364	0.1082316708
365	0.1080774548
366	0.1078998202
367	0.1075800744
368	0.1072114073
369	0.1071195662
370	0.1068852788
371	0.1066415663
372	0.1063872099
373	0.1061183577
374	0.1059058419
375	0.105717703
376	0.1054452501
377	0.1052690391
378	0.1050570537
379	0.1047467701
380	0.1045863948
381	0.1043514561
382	0.1042543116
383	0.1040225642
384	0.1038024377
385	0.1032913709
386	0.1028107194
387	0.1025708402
388	0.1024585021
389	0.1022957728
390	0.1022750245
391	0.1019898156
392	0.101815177
393	0.1016632033
394	0.1015211478
395	0.1013978959
396	0.1012750813
397	0.1009741019
398	0.1006362502
399	0.100383215
400	0.1003058604
401	0.1000790628
402	0.09975903781
403	0.09957279696
404	0.09944118068
405	0.09926662582
406	0.09912609618
407	0.09897350838
408	0.09870306511
409	0.09852346741
410	0.09841928902
411	0.09823536489
412	0.09798382763
413	0.09771245395
414	0.09743927527
415	0.0971440737
416	0.09701132231
417	0.09679124232
418	0.09658247616
419	0.09640413452
420	0.09628733042
421	0.09605025178
422	0.09584327201
423	0.09563227286
424	0.09539130509
425	0.09514493161
426	0.09494658608
427	0.09462730542
428	0.09432112497
429	0.09415879574
430	0.09403412965
431	0.0937677895
432	0.09363209801
433	0.09334795906
434	0.09307943244
435	0.09292062948
436	0.09269855841
437	0.09246981627
438	0.09223080237
439	0.09199056032
440	0.09180786435
441	0.09168889238
442	0.09155333115
443	0.09144176528
444	0.0912739373
445	0.09094495243
446	0.09073687477
447	0.09048650052
448	0.09032820929
449	0.09017963157
450	0.09004222812
451	0.09003064447
452	0.08977860478
453	0.08967803639
454	0.08933612807
455	0.08924397993
456	0.08904022869
457	0.08879873059
458	0.08867232462
459	0.08847613765
460	0.08818495547
461	0.08783139837
462	0.08764870239
463	0.08747605488
464	0.0871706932
465	0.08685342222
466	0.08676371176
467	0.08641962627
468	0.08626017202
469	0.08616203202
470	0.08581837452
471	0.08564786696
472	0.08557851394
473	0.08545832314
474	0.08526303866
475	0.08492939241
476	0.08481162999
477	0.08469324419
478	0.0845577946
479	0.08440785848
480	0.08420701014
481	0.08403158069
482	0.08387222878
483	0.08378788681
484	0.0835110423
485	0.08337414127
486	0.08329960585
487	0.08302039809
488	0.0828156327
489	0.08259731119
490	0.08244128087
491	0.08221148736
492	0.08197997259
493	0.08190271106
494	0.08168024921
495	0.08155324778
496	0.08140795442
497	0.08132498016
498	0.08122373257
499	0.08107140528
500	0.08100798831
501	0.08076613664
502	0.08069821646
503	0.08048759878
504	0.08026411348
505	0.0801075249
506	0.07993938059
507	0.07969729632
508	0.07956946682
509	0.07949642937
510	0.07923771862
511	0.07908210697
512	0.07892699775
513	0.07875705774
514	0.07869452466
515	0.0785312278
516	0.07837862139
517	0.07807231069
518	0.07800466498
519	0.07778727854
520	0.07764387392
521	0.07748994632
